Name,mean,min,max
Aave,1.0208903963868612,-210.86234449999995,100.14520852000004
Binance Coin,0.2220762656684234,-169.83724672,136.62817649000002
Bitcoin,11.910273470479108,-7563.999292240005,7309.636429489998
Cardano,0.0010260318134511749,-0.5240620599999999,0.36521863
Chainlink,0.014102062730777494,-15.935869,6.488430659999999
Cosmos,0.012294857947471845,-8.91786611,3.7977140600000006
Crypto.com Coin,0.00011519075087599138,-0.05798204000000001,0.07964223000000001
Dogecoin,9.352471880756239e-05,-0.14331189,0.18428271000000002
EOS,-0.00037543000734825227,-4.2124337999999995,5.09629752
Ethereum,1.0307922498082518,-921.97794939,543.6550803199998
IOTA,-9.144626946567317e-05,-1.6285500526428223,1.122340202331543
Litecoin,0.026750086999108146,-105.08540475999999,103.69499206542966
Monero,0.06557536155298109,-141.55041551,93.4840087890625
NEM,-4.062359618687108e-05,-0.3506699800491333,0.6420999765396116
Polkadot,0.0265723540127599,-15.461676409999999,7.978388340000002
Solana,0.08135952922268498,-20.982073460000002,9.699701529999999
Stellar,9.612246703185439e-05,-0.19644108,0.3335070013999939
TRON,3.1645223671504427e-05,-0.05320198833942408,0.11305390298366541
Tether,3.981071209268825e-05,-0.05378997325897217,0.059059977531433105
USD Coin,-5.623296320025063e-07,-0.031542047769999915,0.0427686677739999
Uniswap,0.062477843399280676,-11.643256159999996,9.06774094
Wrapped Bitcoin,34.03847443265896,-7586.297131940002,7534.523221429998
XRP,0.00024934975787326344,-0.9073600769042969,0.7750301361083984
