date/time,Bitcoin_interest_score,Crypto_interest_score,isPartial
2024-10-01,86,57,False
2024-10-02,63,63,False
2024-10-03,72,67,False
2024-10-04,79,49,False
2024-10-05,48,50,False
2024-10-06,69,36,False
2024-10-07,100,82,False
2024-10-08,67,54,False
2024-10-09,87,55,False
2024-10-10,74,50,False
2024-10-11,65,46,False
2024-10-12,62,56,False
2024-10-13,41,64,False
2024-10-14,83,72,False
2024-10-15,71,66,False
