date/time,Bitcoin_interest_score,Crypto_interest_score,isPartial
2025-01-01,85,38,False
2025-01-02,94,44,False
2025-01-03,89,43,False
2025-01-04,78,41,False
2025-01-05,73,39,False
2025-01-06,95,41,False
2025-01-07,100,44,False
2025-01-08,92,41,False
2025-01-09,93,39,False
2025-01-10,87,36,False
2025-01-11,74,33,False
2025-01-12,70,34,False
2025-01-13,92,36,False
2025-01-14,83,40,False
2025-01-15,90,42,False
