date/time,Bitcoin_interest_score,Crypto_interest_score,isPartial
2024-11-01,26,9,False
2024-11-02,21,8,False
2024-11-03,20,9,False
2024-11-04,22,11,False
2024-11-05,24,9,False
2024-11-06,91,15,False
2024-11-07,52,14,False
2024-11-08,43,13,False
2024-11-09,35,12,False
2024-11-10,58,19,False
2024-11-11,93,22,False
2024-11-12,100,25,False
2024-11-13,92,25,False
2024-11-14,71,23,False
2024-11-15,58,19,False
