Name,mean,min,max
Aave,33.67380441627737,2.217901420000004,294.59234275
Binance Coin,5.598287262507712,0.0038497969508170943,232.26286704
Bitcoin,440.56670012859905,1.027999877929716,12864.619572720003
Cardano,0.03009690764480319,0.0006130001039000021,1.0000617900000002
Chainlink,0.7123891049767561,0.007707000000000019,22.234660970000004
Cosmos,0.7811047918490238,0.04008667708000013,13.62042325
Crypto.com Coin,0.00690986347068671,0.0001966173063000006,0.13760278999999997
Dogecoin,0.0025708334082012365,2.2649983292999967e-06,0.4664674999999999
EOS,0.45405301874973153,0.01724296808242798,5.6269430400000005
Ethereum,32.66597936333834,0.018745005130767822,1485.4755559300002
IOTA,0.09132968818126401,0.002835692210999996,2.308480262756347
Litecoin,4.690408682296758,0.009279966354370117,148.67515644999997
Monero,6.876140966987023,0.010319977998733465,191.71789657999997
NEM,0.015864110543196863,1.8123973859474063e-06,0.6719250082969666
Polkadot,2.222958327416948,0.09339396999999927,22.705205590000002
Solana,1.7335589735798351,0.02113924845299997,28.095912200000004
Stellar,0.011199505033556784,2.336001489309982e-05,0.47869244
TRON,0.0037512837872477663,0.0001163401175291001,0.12365099787712097
Tether,0.011105629794288176,0.0,0.20937001705169678
USD Coin,0.011694287589431127,0.00036165000000010217,0.13120252092399987
Uniswap,2.1568626522058563,0.12514778999999976,18.81876966
Wrapped Bitcoin,1289.0508382037428,91.25845604999995,32556.42840194
XRP,0.025767506356322554,0.0,1.2980499267578125
