date/time,Bitcoin_interest_score,Crypto_interest_score,isPartial
2025-01-01,80,40,False
2025-01-02,82,61,False
2025-01-03,84,56,False
2025-01-04,62,53,False
2025-01-05,68,47,False
2025-01-06,79,48,False
2025-01-07,81,50,False
2025-01-08,100,52,False
2025-01-09,75,50,False
2025-01-10,76,40,False
2025-01-11,52,42,False
2025-01-12,58,49,False
2025-01-13,78,46,False
2025-01-14,74,50,False
2025-01-15,79,54,False
