BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD
308.8223689152644,23935.751802884617,0.08447238401724742,1649.8038799579326,23.5712036719689
316.6485085409196,26956.576460040982,0.07920444255969564,1794.1661136814805,21.428745707527536
283.8453734350986,27629.089747694674,0.06981486863777285,1832.3866407050461,19.100201622384493
236.10707215339906,28955.131394909273,0.06999343555540807,1825.1617234753023,22.945300502161825
214.43549184330175,28059.292488473362,0.062408016414427364,1640.9787657690829,22.960126720491004
250.0487048039671,39620.305648053276,0.0849118525864648,2127.6725914126537,67.91732200247343
326.1873601277669,46281.46731770833,0.08356975006560484,2554.62294921875,101.15968068440755
556.2041380835361,66807.32844518442,0.16804119602578585,3440.3879274462092,161.90589054295273
600.9751927110016,65577.70178022541,0.1460811799911202,3434.8765048668033,153.84845896236232
546.4346411920363,61362.869833669356,0.11244435452165143,2956.390688004032,152.61457713957756
566.2147221799756,63010.666816086065,0.11691021271904961,2492.6922667456456,148.26946908919538
659.8780527583888,92497.42033811475,0.35026349151720765,3384.0150086449794,213.91992437644083
670.969482421875,99157.61585771276,0.323505126415415,3127.098134142287,213.80258763090094
